filename,band,minimum,maximum,mean,median,std,percentile_2,percentile_98,nodata
burned_area.tif,1,0.0,250.0,0.0567356572258533,0.0,3.0124482654150873,0.0,0.0,0
cloud_probability-0000000000-0000000000.tif,1,43.16935483870968,92.66935483870968,63.19001946512643,62.82730923694779,4.562847691006851,54.61788617886179,73.4959349593496,150639546
cloud_probability-0000023296-0000000000.tif,1,48.295081967213115,90.63934426229508,66.5829162285147,66.72131147540983,3.23767002213246,59.36065573770492,72.8360655737705,68398072
sentinel_raw-0000000000-0000000000.tif,1,536.5,4882.0,1558.865317464329,1518.5,342.6234974144506,996.0,2408.0,35766346
sentinel_raw-0000000000-0000000000.tif,2,669.0,4839.166666666666,1598.8697262963992,1567.3333333333333,306.6807733001553,1101.0,2351.5,35766346
sentinel_raw-0000000000-0000000000.tif,3,473.6,4707.8,1400.7772588825605,1370.3333333333335,313.6162056486182,883.5,2187.0,35766346
sentinel_raw-0000000000-0000000000.tif,4,1182.0,6143.0,3864.0052705876205,3879.0,351.14324843122415,3089.3333333333335,4559.166666666667,35766346
sentinel_raw-0000000000-0000000000.tif,5,846.5,4121.333333333333,2052.0119464568575,2023.6,259.50424469907483,1614.0,2701.5,35766346
sentinel_raw-0000000000-0000000000.tif,6,593.3333333333334,3414.5,1393.1961615108657,1372.5,202.58327482788317,1037.0,1896.6,35766346
sentinel_raw-0000000000-0000009472.tif,1,501.25,6738.0,1658.5531347527815,1443.3333333333333,704.0327593247258,869.8,3722.5,30956534
sentinel_raw-0000000000-0000009472.tif,2,540.8571428571429,6320.0,1664.2175051706977,1476.0,633.1701233965857,964.5,3536.5,30956534
sentinel_raw-0000000000-0000009472.tif,3,396.0,6121.0,1473.7300829952057,1283.1830357142858,637.0377554149024,766.85,3351.2,30956534
sentinel_raw-0000000000-0000009472.tif,4,1233.3333333333333,6437.5,3652.5807712038622,3614.5,382.94339080380354,2974.714285714286,4541.0,30956534
sentinel_raw-0000000000-0000009472.tif,5,874.5,3747.666666666667,1814.0040077785104,1760.25,228.30657011459544,1497.5,2429.0,30956534
sentinel_raw-0000000000-0000009472.tif,6,575.0,2886.25,1317.0842672041636,1262.0,280.7668438772008,909.5,2060.0,30956534
sentinel_raw-0000009472-0000000000.tif,1,353.6666666666667,6077.0,1380.6011114816972,1346.3333333333333,321.73062047486576,854.2,2171.407666666682,29113706
sentinel_raw-0000009472-0000000000.tif,2,484.3333333333333,5865.8,1450.7919191817962,1423.0,291.3445205000637,983.7142857142857,2167.5,29113706
sentinel_raw-0000009472-0000000000.tif,3,334.6666666666667,5693.333333333333,1274.322627968019,1238.5,316.2063170495087,791.0,2092.3333333333335,29113706
sentinel_raw-0000009472-0000000000.tif,4,448.125,6100.0,3633.3896909283676,3664.0,438.0319668297447,2648.0,4451.333333333333,29113706
sentinel_raw-0000009472-0000000000.tif,5,354.66666666666663,4504.666666666666,2008.3168718370518,2002.5,325.75100036137667,1390.0,2726.6666666666665,29113706
sentinel_raw-0000009472-0000000000.tif,6,287.5,3888.0,1313.4580713294793,1294.0,253.0851618937984,856.5,1943.5,29113706
sentinel_raw-0000009472-0000009472.tif,1,475.25,5156.166666666667,1663.5021704807766,1578.5,467.4421945255027,969.0,2926.0,26711856
sentinel_raw-0000009472-0000009472.tif,2,543.8571428571429,4932.0,1670.3386593180508,1598.0,418.048462278982,1046.0,2800.0,26711856
sentinel_raw-0000009472-0000009472.tif,3,407.0,4716.0,1469.5191854583202,1391.0,421.2863679535253,848.0,2604.5,26711856
sentinel_raw-0000009472-0000009472.tif,4,1342.75,6009.0,3775.74133246625,3752.0,359.8842630159916,3098.125,4522.666666666667,26711856
sentinel_raw-0000009472-0000009472.tif,5,959.25,3736.0,1911.083230855429,1866.3333333333333,240.87717195550405,1553.6666666666667,2532.125,26711856
sentinel_raw-0000009472-0000009472.tif,6,606.6666666666666,3167.625,1355.0301206386084,1337.5,229.7660620441956,943.3333333333334,1908.0,26711856
sentinel_raw-0000018944-0000000000.tif,1,598.0,5747.5,1802.8554281994725,1793.5,361.50151338418135,1115.0,2579.5,37905695
sentinel_raw-0000018944-0000000000.tif,2,717.875,5710.833333333334,1814.0733500436174,1804.5,329.2555873151874,1190.0,2527.6666666666665,37905695
sentinel_raw-0000018944-0000000000.tif,3,529.7,5435.5,1651.8834691022143,1634.0,346.2351588653864,1008.0,2403.5,37905695
sentinel_raw-0000018944-0000000000.tif,4,640.0,6177.5,3508.9023418579627,3518.1388888888887,502.915779815182,2458.714285714286,4392.4,37905695
sentinel_raw-0000018944-0000000000.tif,5,554.6,4302.5,2015.6402709488525,1969.4,307.3703329378925,1496.5,2768.75,37905695
sentinel_raw-0000018944-0000000000.tif,6,489.3333333333333,3647.0,1475.9565074928487,1468.5,240.2542874061775,1016.75,2062.6666666666665,37905695
sentinel_raw-0000018944-0000009472.tif,1,719.1428571428571,5592.0,1955.9462963555243,1945.3333333333333,321.30844637502145,1345.5,2650.6666666666665,26700201
sentinel_raw-0000018944-0000009472.tif,2,761.3928571428571,5201.0,1960.8627944676778,1948.0,297.09248081348176,1399.8333333333335,2608.0,26700201
sentinel_raw-0000018944-0000009472.tif,3,568.2666666666667,5040.857142857143,1778.1074134653497,1758.0,308.8911062312355,1210.3333333333335,2457.5,26700201
sentinel_raw-0000018944-0000009472.tif,4,1641.3333333333333,5995.6,3824.602619799774,3849.5,376.8610699958245,2968.75,4572.333333333333,26700201
sentinel_raw-0000018944-0000009472.tif,5,1122.0,3895.6666666666665,2095.496270633491,2059.0,276.93216098438836,1593.25,2768.0,26700201
sentinel_raw-0000018944-0000009472.tif,6,679.3333333333334,3249.0,1540.7244819480168,1531.5,190.89123925018794,1175.5,1978.0,26700201
sentinel_raw-0000028416-0000000000.tif,1,758.0,4704.0,1733.9451429003386,1699.0,372.9277478091041,1110.0,2463.25,17685813
sentinel_raw-0000028416-0000000000.tif,2,857.6,4693.5,1774.0707489579793,1752.75,343.5114128086817,1175.3333333333333,2448.8,17685813
sentinel_raw-0000028416-0000000000.tif,3,704.1,4876.666666666666,1648.8777294082186,1610.0,366.4576922109964,1039.0,2384.0,17685813
sentinel_raw-0000028416-0000000000.tif,4,850.6666666666666,5258.7,2842.3386578385166,2847.666666666667,692.9896145575284,1436.0,4376.0,17685813
sentinel_raw-0000028416-0000000000.tif,5,657.0,4042.5,1770.854136916534,1707.0,456.5405032767052,919.25,2891.5,17685813
sentinel_raw-0000028416-0000000000.tif,6,572.5,3276.5,1379.9384771736281,1333.0,372.8748683031293,770.0,2342.6666666666665,17685813
sentinel_raw-0000028416-0000009472.tif,1,762.25,3903.5,1905.3135252560073,1859.3333333333333,445.67635723287793,1168.0,2840.0,14197467
sentinel_raw-0000028416-0000009472.tif,2,965.6,3745.3333333333335,1993.5025187215754,1962.75,406.7493133889414,1296.0,2834.5,14197467
sentinel_raw-0000028416-0000009472.tif,3,762.625,3549.5,1778.691393431463,1733.0,398.7721412423205,1109.3333333333333,2629.25,14197467
sentinel_raw-0000028416-0000009472.tif,4,1119.2,5899.5,3852.6783257869242,4079.6,806.010143853672,1616.0,4884.0,14197467
sentinel_raw-0000028416-0000009472.tif,5,644.1666666666667,3155.0,1842.2894665382235,1947.0,329.3989928021729,961.5,2223.6666666666665,14197467
sentinel_raw-0000028416-0000009472.tif,6,553.6666666666666,2793.6666666666665,1355.5049673010228,1410.5833333333335,253.08415073804878,789.6666666666666,1745.4,14197467
viirs_hotspot_stats.tif,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154357
viirs_hotspot_stats.tif,2,0.0,0.018382353708148003,0.00021484415628947318,0.0,0.0007704480667598546,0.0,0.0018382353009656072,154357
viirs_hotspot_stats.tif,3,0.3400000035762787,322.79998779296875,11.971275329589844,7.320000171661377,15.056429862976074,1.5199999809265137,55.4900016784668,351023
