grid_id,latitude,longitude,Mean_B2,Mean_B3,Mean_B4,Mean_B8,Mean_B11,Mean_B12,Mean_NBR,Std_NBR,Burn_Label
4132,-0.726887,110.055298,2007.697120,1962.876767,1774.690433,3566.341202,1806.987707,1540.473665,0.397437,0.034695,0
4133,-0.722364,110.055299,1877.871027,1834.898206,1658.813970,3505.103147,1779.680589,1512.551840,0.398019,0.038648,0
4134,-0.717840,110.055300,1839.510891,1807.008198,1622.617133,3500.591805,1754.736330,1510.027769,0.397319,0.028147,0
4135,-0.713317,110.055301,1966.575537,1908.545600,1722.159701,3550.378443,1808.593067,1589.164067,0.381500,0.022835,0
4136,-0.708794,110.055302,1997.818420,1945.243120,1757.810893,3540.574663,1798.522335,1605.631733,0.376163,0.025068,0
4137,-0.704271,110.055303,1613.606654,1615.937982,1460.794190,3377.712241,1668.836610,1346.701184,0.431391,0.042210,0
4138,-0.699748,110.055304,1445.271393,1436.929630,1266.501962,3239.522002,1608.590672,1215.396400,0.455158,0.037539,0
4139,-0.695225,110.055305,1588.951294,1558.125650,1383.321145,3271.054805,1607.169347,1262.000667,0.444050,0.034907,0
4140,-0.690702,110.055306,1682.912204,1643.736445,1463.510741,3410.542619,1710.412112,1406.586109,0.415965,0.025011,0
4141,-0.686179,110.055307,1600.724207,1592.402173,1435.901987,3321.988441,1754.921375,1422.027109,0.402039,0.039379,0
4142,-0.681656,110.055308,1453.707564,1447.473589,1291.603059,3251.338824,1663.414935,1267.275133,0.440154,0.042391,0
4143,-0.677133,110.055308,1289.616524,1312.253566,1153.454765,3277.550683,1561.457371,1121.406599,0.490771,0.043147,0
4144,-0.672610,110.055309,1314.401043,1337.754141,1189.703384,3267.939569,1660.401796,1185.802617,0.466455,0.066901,0
4145,-0.668087,110.055310,1144.625398,1162.386363,1048.345945,3009.683192,1625.954851,1092.368766,0.469503,0.074312,0
4146,-0.663564,110.055311,1373.856376,1392.771552,1269.019140,3275.855306,1861.520279,1381.283526,0.405371,0.093340,0
4147,-0.659041,110.055312,1469.803447,1512.481019,1318.442810,3717.226300,1929.280928,1415.350568,0.446970,0.055538,0
4148,-0.654518,110.055313,1433.825481,1493.115307,1273.384806,3775.716142,1920.757227,1326.756884,0.479268,0.045109,0
4149,-0.650282,110.054636,1424.985678,1523.394937,1352.387670,3569.901775,1843.491094,1249.234959,0.472548,0.076758,0
4150,-0.649439,110.056626,1474.204406,1553.875528,1312.945354,3995.379277,2033.754397,1422.704342,0.474448,0.039443,0
4151,-0.646267,110.054187,1440.936280,1525.013556,1376.863710,3570.292516,1802.724817,1256.183628,0.472188,0.060268,0
4152,-0.645269,110.055603,1470.778843,1553.067785,1338.670943,3866.576555,1903.302276,1291.787341,0.496307,0.043234,0
4153,-0.640841,110.053110,1427.950000,1540.458333,1368.943333,3460.815952,1771.400000,1343.441667,0.436364,0.046650,0
4154,-0.640949,110.055323,1475.951718,1547.301940,1335.676461,3786.196883,1884.505706,1341.031947,0.476230,0.029119,0
4155,-0.636426,110.055316,1628.712420,1642.350380,1437.811788,3572.872540,1874.638878,1414.661667,0.432587,0.036690,0
4156,-0.631903,110.055317,1832.569690,1821.978719,1623.020703,3696.392886,1891.568898,1491.626193,0.425012,0.030273,0
4157,-0.627380,110.055318,1613.130357,1637.671160,1451.055368,3593.437523,1882.105059,1407.513695,0.436454,0.038469,0
4158,-0.622857,110.055318,1735.799417,1751.071081,1596.951592,3654.085892,2077.788154,1521.894299,0.409310,0.056081,0
4159,-0.618334,110.055319,1913.443297,1931.143203,1739.681343,3959.355057,2117.057529,1575.269173,0.429881,0.036406,0
4160,-0.613811,110.055320,1772.353830,1798.679634,1604.918808,3937.421248,2256.756519,1557.194508,0.433222,0.051570,0
4161,-0.609288,110.055321,1767.692169,1784.373714,1567.649745,3890.152549,2079.537865,1466.272682,0.452316,0.047509,0
4162,-0.604765,110.055322,1728.380860,1759.286102,1538.083843,3935.649841,2121.264207,1500.365947,0.447377,0.040912,0
4163,-0.600242,110.055322,1716.921303,1719.224905,1519.545340,3700.871217,1812.300720,1405.393490,0.449288,0.026978,0
4164,-0.595719,110.055323,1511.686480,1552.745000,1379.835528,3829.313861,2058.778226,1392.115947,0.464264,0.052408,0
4165,-0.591196,110.055324,1739.406880,1749.166393,1581.028260,3597.202852,2002.232623,1447.029720,0.424996,0.065850,0
4166,-0.586673,110.055325,1673.495830,1713.831153,1554.997741,3816.475964,2098.561778,1502.651116,0.434410,0.044579,0
4167,-0.582150,110.055325,1625.188353,1680.802712,1480.078207,3922.185579,2088.803790,1534.082813,0.436998,0.032189,0
4168,-0.577627,110.055326,1571.207924,1629.924245,1429.239927,3894.916342,2058.019850,1446.691389,0.457738,0.034040,0
4169,-0.573103,110.055327,1515.328716,1553.479039,1365.620782,3679.190546,1888.306334,1337.547748,0.466633,0.036487,0
4170,-0.568580,110.055328,1654.105979,1701.176138,1528.703305,3949.635656,2123.462267,1463.371383,0.460240,0.053270,0
4171,-0.564057,110.055328,1566.263247,1603.909024,1462.001058,3808.358889,2223.203662,1504.841374,0.435774,0.071273,0
4172,-0.559534,110.055329,1735.650427,1744.918576,1623.903875,3623.960543,2612.987588,1831.405322,0.329375,0.070451,0
4173,-0.555011,110.055330,2036.183413,1999.953347,1805.807780,3758.965315,2147.303098,1734.932030,0.367856,0.061614,0
4174,-0.550488,110.055331,1957.133551,1944.118639,1739.829680,3853.421094,1966.582223,1581.717653,0.418857,0.034857,0
4175,-0.545965,110.055331,1678.383520,1699.198827,1478.360267,3834.937771,1896.612183,1410.759307,0.462530,0.032141,0
4176,-0.541442,110.055332,1611.562853,1648.724672,1434.724573,3820.605627,1885.669095,1324.983467,0.486074,0.038921,0
4177,-0.536919,110.055333,1800.160952,1835.219938,1606.095762,4039.606264,2092.676539,1540.027741,0.447622,0.030240,0
4178,-0.532396,110.055333,1823.541307,1842.822856,1620.804356,3859.141812,2146.088102,1528.485120,0.431554,0.030943,0
4179,-0.527873,110.055334,1933.043807,1924.328250,1705.780808,3706.894393,2062.791718,1547.887699,0.411975,0.033600,0
4180,-0.523350,110.055335,1968.473955,1937.956829,1726.096222,3822.653374,2001.021553,1515.629605,0.432023,0.025881,0
4181,-0.518827,110.055335,1715.553705,1690.461682,1501.265515,3663.892358,1847.869352,1403.252027,0.446169,0.035465,0
4182,-0.514304,110.055336,1848.499331,1806.347620,1613.272074,3612.747729,1852.644107,1426.447173,0.433746,0.037118,0
4183,-0.509781,110.055337,1937.658925,1864.052231,1662.132209,3641.315699,1858.953155,1490.181619,0.419392,0.027874,0
4184,-0.505258,110.055337,2085.760627,2012.365160,1806.234822,3651.273003,1939.451383,1572.605427,0.397917,0.031024,0
4185,-0.500735,110.055338,1870.891428,1831.240205,1658.546140,3473.148960,1884.177510,1511.291227,0.395640,0.044329,0
4186,-0.496212,110.055339,1574.330830,1577.544437,1395.481052,3429.598706,1785.375372,1321.222306,0.443739,0.029530,0
4187,-0.491689,110.055339,1740.449753,1699.549676,1509.553284,3451.916890,1812.683583,1391.177680,0.425536,0.029942,0
4188,-0.487166,110.055340,2077.291367,2009.391516,1817.390188,3665.096064,1929.880124,1594.114960,0.394011,0.026037,0
4189,-0.482643,110.055341,1982.518190,1917.861645,1721.563158,3547.905756,1872.149582,1540.837361,0.394355,0.024105,0
4190,-0.478120,110.055341,1775.806467,1750.433540,1571.247554,3494.164114,1791.143884,1426.535240,0.420069,0.025964,0
4191,-0.473597,110.055342,1962.550837,1914.675803,1723.573803,3469.298632,1819.626847,1437.199633,0.413956,0.024567,0
4192,-0.469074,110.055342,1815.143476,1807.271851,1625.101939,3528.122039,1848.581938,1498.090177,0.403458,0.031402,0
4193,-0.464551,110.055343,1743.972560,1728.331839,1522.985660,3760.962847,1900.623501,1454.595933,0.441758,0.027044,0
4194,-0.460028,110.055344,1876.050241,1835.467182,1631.228128,3523.990180,1863.075365,1473.821782,0.410234,0.023131,0
4195,-0.455505,110.055344,1913.773267,1874.688790,1674.460969,3587.329489,1887.402665,1512.075133,0.406984,0.025739,0
