pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max
503,-0.449719,110.383298,1,1.0,12.1
504,-0.449719,110.386666,1,1.0,12.1
505,-0.449719,110.437197,1,0.5,3.7
506,-0.449719,110.440565,1,0.5,6.03
507,-0.449719,110.443934,1,0.5,6.03
508,-0.449719,110.447303,1,0.5,6.03
509,-0.449719,110.507939,1,0.5,8.02
510,-0.449719,110.511308,1,0.5,8.02
511,-0.449719,110.514676,1,0.5,8.02
512,-0.449719,110.524782,1,0.5,3.86
513,-0.449719,110.528151,1,0.5,3.86
514,-0.453088,110.157596,1,0.5,30.37
515,-0.453088,110.160965,1,0.5,30.37
516,-0.453088,110.164333,1,0.5,30.37
517,-0.453088,110.272131,1,0.5,3.48
518,-0.453088,110.2755,1,0.5,3.48
519,-0.453088,110.278869,1,0.5,3.48
520,-0.453088,110.288975,1,1.0,30.73
521,-0.453088,110.292343,1,1.0,30.73
522,-0.453088,110.295712,2,0.75,30.73
523,-0.453088,110.299081,1,0.5,6.76
524,-0.453088,110.329399,1,0.5,3.47
525,-0.453088,110.332768,1,0.5,3.47
526,-0.453088,110.379929,1,1.0,12.1
527,-0.453088,110.383298,1,1.0,12.1
528,-0.453088,110.386666,1,1.0,12.1
529,-0.453088,110.437197,1,0.5,3.7
530,-0.453088,110.440565,1,0.5,6.03
531,-0.453088,110.443934,1,0.5,6.03
532,-0.453088,110.447303,1,0.5,6.03
533,-0.453088,110.470884,1,0.5,9.35
534,-0.453088,110.474252,1,0.5,9.35
535,-0.453088,110.477621,1,0.5,9.35
536,-0.453088,110.524782,1,0.5,3.86
537,-0.453088,110.528151,1,0.5,3.86
538,-0.453088,110.58205,1,0.5,3.23
539,-0.453088,110.585419,1,0.5,3.23
540,-0.456456,110.295712,1,0.5,6.76
541,-0.456456,110.299081,1,0.5,6.76
542,-0.456456,110.302449,1,0.5,3.01
543,-0.456456,110.379929,1,1.0,12.1
544,-0.456456,110.383298,1,1.0,12.1
545,-0.456456,110.386666,1,1.0,12.1
546,-0.456456,110.437197,1,0.5,3.7
547,-0.456456,110.440565,1,0.5,3.7
548,-0.456456,110.443934,1,0.5,3.7
549,-0.456456,110.467515,1,0.5,8.54
550,-0.456456,110.470884,2,0.5,9.35
551,-0.456456,110.474252,2,0.5,9.35
552,-0.456456,110.477621,1,0.5,9.35
553,-0.456456,110.58205,1,0.5,3.23
554,-0.456456,110.585419,1,0.5,3.23
555,-0.459825,110.140753,1,0.5,4.16
556,-0.459825,110.144121,1,0.5,4.16
557,-0.459825,110.295712,1,0.5,3.01
558,-0.459825,110.299081,1,0.5,3.01
559,-0.459825,110.302449,1,0.5,3.01
560,-0.459825,110.336136,1,0.5,8.78
561,-0.459825,110.339505,1,0.5,8.78
562,-0.459825,110.342874,1,0.5,8.78
563,-0.459825,110.35298,1,0.5,3.75
564,-0.459825,110.356348,1,0.5,3.75
565,-0.459825,110.359717,1,0.5,3.75
566,-0.459825,110.467515,1,0.5,8.54
567,-0.459825,110.470884,2,0.5,10.08
568,-0.459825,110.474252,2,0.5,10.08
569,-0.459825,110.477621,1,0.5,10.08
570,-0.463194,110.009374,1,0.5,6.42
571,-0.463194,110.140753,1,0.5,4.16
572,-0.463194,110.144121,1,0.5,4.16
573,-0.463194,110.295712,1,0.5,3.01
574,-0.463194,110.299081,1,0.5,3.01
575,-0.463194,110.302449,1,0.5,3.01
576,-0.463194,110.322661,1,0.5,4.09
577,-0.463194,110.32603,1,0.5,4.09
578,-0.463194,110.329399,1,0.5,4.09
579,-0.463194,110.336136,1,0.5,8.78
580,-0.463194,110.339505,1,0.5,8.78
581,-0.463194,110.342874,1,0.5,8.78
582,-0.463194,110.35298,1,0.5,3.75
583,-0.463194,110.356348,1,0.5,3.75
584,-0.463194,110.359717,1,0.5,3.75
585,-0.463194,110.400141,1,0.5,3.46
586,-0.463194,110.40351,1,0.5,3.46
587,-0.463194,110.406879,1,0.5,3.46
588,-0.463194,110.416985,1,0.5,4.73
589,-0.463194,110.420353,1,0.5,4.73
590,-0.463194,110.423722,1,0.5,4.73
591,-0.463194,110.467515,1,0.5,8.54
592,-0.463194,110.470884,1,0.5,8.54
593,-0.463194,110.474252,1,0.5,8.54
594,-0.466563,110.006005,1,0.5,14.97
595,-0.466563,110.009374,1,0.5,6.42
596,-0.466563,110.01948,1,0.5,19.05
