Cluster,Pixel_Count,Percentage,Mean_Hotspot_Frequency,Median_Hotspot_Frequency,Std_Hotspot_Frequency,Min_Hotspot_Frequency,Max_Hotspot_Frequency,Mean_FRP_Max,Median_FRP_Max,Std_FRP_Max,Min_FRP_Max,Max_FRP_Max
214,44,0.21840563883649358,1.0,1.0,0.0,1,1,5.910454545454545,5.91,0.007456710869940099,5.9,5.92
215,70,0.34746351633078526,1.0,1.0,0.0,1,1,5.956142857142857,5.96,0.01207378969153968,5.93,5.97
216,160,0.7942023230417949,2.0,2.0,0.0,2,2,11.446250000000001,11.46,0.37893055403315534,10.67,12.05
217,52,0.2581157549885833,1.0,1.0,0.0,1,1,2.1796153846153845,2.18,0.006848941083614531,2.17,2.19
218,55,0.27300704854561697,1.0,1.0,0.0,1,1,2.146727272727273,2.14,0.010550503841671832,2.13,2.16
219,51,0.25315199046957215,1.0,1.0,0.0,1,1,4.77,4.77,0.0,4.77,4.77
220,51,0.25315199046957215,1.0,1.0,0.0,1,1,4.7519607843137255,4.75,0.007216538739073381,4.74,4.76
221,38,0.18862305172242627,1.0,1.0,0.0,1,1,4.787894736842105,4.79,0.004131549501122523,4.78,4.79
222,34,0.16876799364638143,1.0,1.0,0.0,1,1,4.804705882352941,4.8,0.0050664039710489476,4.8,4.81
223,36,0.17869552268440386,1.0,1.0,0.0,1,1,5.039166666666667,5.04,0.008062257748298237,5.03,5.05
224,43,0.21344187431748238,1.0,1.0,0.0,1,1,5.592790697674418,5.59,0.007661151658840355,5.58,5.6
225,48,0.23826069691253848,1.0,1.0,0.0,1,1,2.40875,2.41,0.007033355181304601,2.4,2.42
