pixel_id,latitude,longitude,Hotspot_Frequency,Confidence_Score,FRP_Max,Cluster
111,-0.385714,110.474252,1,0.5,6.67,167
112,-0.385714,110.53152,1,0.5,4.29,291
113,-0.385714,110.534888,1,0.5,4.29,291
114,-0.385714,110.538257,1,0.5,4.29,291
115,-0.389083,110.467515,1,0.5,6.67,167
116,-0.389083,110.470884,1,0.5,6.67,167
117,-0.389083,110.474252,1,0.5,6.67,167
118,-0.389083,110.53152,1,0.5,4.29,291
119,-0.389083,110.534888,1,0.5,4.29,291
120,-0.389083,110.538257,1,0.5,4.29,291
121,-0.392451,110.410247,2,0.75,32.65,-1
122,-0.392451,110.413616,2,0.75,32.65,-1
123,-0.392451,110.416985,2,0.75,32.65,-1
124,-0.392451,110.447303,1,0.5,6.61,174
125,-0.392451,110.450671,1,0.5,6.61,174
126,-0.392451,110.45404,1,0.5,6.61,174
127,-0.392451,110.528151,1,0.5,31.03,24
128,-0.392451,110.53152,2,0.5,31.03,-1
129,-0.392451,110.534888,1,0.5,4.29,291
130,-0.392451,110.538257,1,0.5,4.29,291
131,-0.39582,110.363086,1,0.5,5.98,185
132,-0.39582,110.366454,1,0.5,5.98,185
133,-0.39582,110.369823,1,0.5,5.98,185
134,-0.39582,110.410247,2,0.75,32.65,-1
135,-0.39582,110.413616,2,0.75,32.65,-1
136,-0.39582,110.416985,2,0.75,32.65,-1
137,-0.39582,110.447303,1,0.5,6.61,174
138,-0.39582,110.450671,1,0.5,6.61,174
139,-0.39582,110.45404,1,0.5,6.61,174
140,-0.39582,110.507939,1,0.5,46.63,10
141,-0.39582,110.511308,1,0.5,46.63,10
142,-0.39582,110.514676,1,0.5,46.63,10
143,-0.39582,110.528151,1,0.5,31.03,-1
144,-0.39582,110.53152,1,0.5,31.03,24
145,-0.39582,110.534888,1,0.5,10.97,97
146,-0.39582,110.538257,1,0.5,10.97,97
147,-0.39582,110.541626,1,0.5,10.97,97
148,-0.399189,110.342874,1,0.5,6.94,135
149,-0.399189,110.346242,1,0.5,6.94,135
150,-0.399189,110.363086,1,0.5,5.98,185
151,-0.399189,110.366454,1,0.5,5.98,185
152,-0.399189,110.369823,1,0.5,5.98,185
153,-0.399189,110.410247,1,1.0,32.65,-1
154,-0.399189,110.413616,1,1.0,32.65,-1
155,-0.399189,110.416985,1,1.0,32.65,-1
156,-0.399189,110.447303,1,0.5,6.61,174
157,-0.399189,110.450671,1,0.5,6.61,174
158,-0.399189,110.45404,1,0.5,6.61,174
159,-0.399189,110.474252,1,0.5,5.12,253
160,-0.399189,110.477621,1,0.5,5.12,253
161,-0.399189,110.507939,2,0.5,46.63,-1
162,-0.399189,110.511308,2,0.5,46.63,-1
163,-0.399189,110.514676,2,0.5,46.63,-1
164,-0.399189,110.528151,1,0.5,31.03,24
165,-0.399189,110.53152,1,0.5,31.03,-1
166,-0.399189,110.534888,1,0.5,10.97,97
167,-0.399189,110.538257,1,0.5,10.97,97
168,-0.399189,110.541626,1,0.5,10.97,97
169,-0.402558,110.339505,1,0.5,6.94,135
170,-0.402558,110.342874,1,0.5,6.94,135
171,-0.402558,110.346242,1,0.5,6.94,135
172,-0.402558,110.379929,1,0.5,5.16,158
173,-0.402558,110.383298,1,0.5,5.16,158
174,-0.402558,110.386666,1,0.5,5.16,158
175,-0.402558,110.410247,1,0.5,6.31,187
176,-0.402558,110.413616,1,0.5,6.31,187
177,-0.402558,110.416985,1,0.5,6.31,187
178,-0.402558,110.427091,1,0.5,22.99,35
179,-0.402558,110.430459,1,0.5,22.99,35
180,-0.402558,110.433828,1,0.5,22.99,35
181,-0.402558,110.437197,1,0.5,22.99,-1
182,-0.402558,110.440565,1,0.5,22.99,-1
183,-0.402558,110.443934,1,0.5,3.42,296
184,-0.402558,110.447303,1,0.5,3.42,296
185,-0.402558,110.450671,1,0.5,3.42,296
186,-0.402558,110.474252,1,0.5,5.12,253
187,-0.402558,110.477621,1,0.5,5.12,253
188,-0.402558,110.507939,2,0.5,46.63,-1
189,-0.402558,110.511308,2,0.5,46.63,-1
190,-0.402558,110.514676,2,0.5,46.63,-1
191,-0.402558,110.524782,1,0.5,10.35,101
192,-0.402558,110.528151,1,0.5,10.35,101
193,-0.402558,110.53152,1,0.5,10.35,101
194,-0.402558,110.534888,1,0.5,10.35,101
195,-0.405926,110.329399,1,0.5,12.08,89
196,-0.405926,110.332768,1,0.5,12.08,89
197,-0.405926,110.379929,1,0.5,5.16,158
198,-0.405926,110.383298,1,0.5,5.16,158
199,-0.405926,110.386666,1,0.5,5.16,158
200,-0.405926,110.410247,1,0.5,6.31,187
